Voter,Gender,Age,County
Kristin Mahon,female,36-45,Mountain Farm
Leonard Bayer,male,46-55,Mountain Farm
Bryant Cooper,male,36-45,Mountain Farm
Sharen Henry,female,36-45,Mountain Farm
Lindsay Aasen,female,56-65,Mountain Farm
Frank King,male,65+,Mountain Farm
David Stjohn,male,36-45,Mountain Farm
Mario Mcgonigle,male,65+,Mountain Farm
George Karg,male,46-55,Mountain Farm
William Sample,male,36-45,Mountain Farm
Martin Trickel,male,65+,Mountain Farm
James Dodson,male,46-55,Mountain Farm
Vicki Low,female,56-65,Mountain Farm
Robert Vargas,male,46-55,Mountain Farm
Roberta Mosser,female,46-55,Mountain Farm
John Selfe,male,65+,Mountain Farm
Mohammed Braddock,male,56-65,Mountain Farm
Dennis Kenneally,male,46-55,Mountain Farm
Clarence Sykes,male,56-65,Mountain Farm
Marva Tolbert,female,46-55,Black
Theresa Gay,female,56-65,Mountain Farm
Dolores Golden,female,26-35,Mountain Farm
Earl Whitfill,male,56-65,Mountain Farm
Bertha Young,female,65+,Mountain Farm
Elvis Burton,male,56-65,Mountain Farm
Marcia Conway,female,36-45,Mountain Farm
Michael Walton,male,46-55,Black
Desiree Smith,female,65+,Riverside
Asuncion Stavnes,female,46-55,Mountain Farm
Beverly Toomer,female,46-55,Mountain Farm
James Keaton,male,65+,Riverside
Chad Vo,male,46-55,Mountain Farm
Shirley Myers,female,46-55,Mountain Farm
Erna Miller,female,18-25,Mountain Farm
Nancy Lanza,female,36-45,Mountain Farm
Timothy Cser,male,46-55,Mountain Farm
Pauline Jimerson,female,46-55,Black
Justin Villalobos,male,46-55,Mountain Farm
Beth Burrows,female,65+,Mountain Farm
Robert Baird,male,46-55,Mountain Farm
Charles Cambell,male,56-65,Mountain Farm
Marisol Simons,female,46-55,Mountain Farm
Nola Burdette,female,56-65,Mountain Farm
William Borkowski,male,46-55,Mountain Farm
Cristobal Straton,male,56-65,Mountain Farm
Andre Kropf,male,36-45,Mountain Farm
Jay Garcia,male,65+,Mountain Farm
Stephen Bottoms,male,65+,Mountain Farm
Joe Martin,male,36-45,Mountain Farm
Dean Gee,male,65+,Mountain Farm
Sherry Schriner,female,65+,Mountain Farm
Gary Joaquin,male,46-55,Mountain Farm
Wendell Phillips,male,65+,Mountain Farm
Clarence King,male,46-55,Mountain Farm
Christopher Hanson,male,56-65,Mountain Farm
Deana Burt,female,36-45,Mountain Farm
Frances Weed,female,65+,Mountain Farm
Victoria Tucker,female,46-55,Black
Felicia Hickox,female,56-65,Riverside
Clyde Smith,male,46-55,Mountain Farm
Emily Stokes,female,56-65,Mountain Farm
Brenda Williams,female,56-65,Black
Refugio Begay,female,46-55,Mountain Farm
Anthony Barber,male,46-55,Bailey
Alex Brandi,male,36-45,Mountain Farm
Nathaniel Porch,male,46-55,Riverside
Robin Miramontes,female,36-45,Mountain Farm
Charlie Shain,male,56-65,Mountain Farm
Dara Mohan,female,36-45,Mountain Farm
Jimmy Mcfolley,male,56-65,Black
Stella Stamm,female,26-35,Mountain Farm
Deborah Williams,female,65+,Mountain Farm
Bobby Smolen,male,56-65,Mountain Farm
Yvonne Neal,female,26-35,Mountain Farm
Frank Simard,male,56-65,Mountain Farm
Betty Mccall,female,46-55,Mountain Farm
Jason Dixon,male,46-55,Mountain Farm
Joseph Blalock,male,46-55,Mountain Farm
Katherine Rosario,female,46-55,Mountain Farm
Ida Parker,female,65+,Mountain Farm
Kelly Hudson,male,36-45,Mountain Farm
Jacob Quiroz,male,36-45,Mountain Farm
Wanda Alexander,female,26-35,Mountain Farm
Ronald Daniels,male,36-45,Black
Charlotte Conteras,female,46-55,Mountain Farm
Daniel Foster,male,46-55,Black
Catherine Williams,female,36-45,Mountain Farm
Richard Gent,male,46-55,Mountain Farm
Tina Nichols,female,56-65,Mountain Farm
Walter Bogner,male,46-55,Mountain Farm
Cora Fenwick,female,46-55,Mountain Farm
Barbara Boocks,female,46-55,Mountain Farm
Alice Cook,female,65+,Mountain Farm
Frederick Blevins,male,46-55,Mountain Farm
Tammy Semler,female,46-55,Mountain Farm
Sterling Martinez,male,36-45,Mountain Farm
Zachery Cooney,male,46-55,Riverside
Mary Mintz,female,46-55,Mountain Farm
Bailey Matsuda,female,56-65,Mountain Farm
Carey Hicks,female,26-35,Mountain Farm
Robert Riveron,male,56-65,Mountain Farm
Raul Pai,male,36-45,Mountain Farm
Verna Whitlock,female,56-65,Riverside
Audrey Dorko,female,36-45,Mountain Farm
Martha Reed,female,65+,Mountain Farm
Brady Mitchell,male,46-55,Mountain Farm
Rebecca Bankhead,female,46-55,Bailey
Carlos Bryant,male,56-65,Mountain Farm
Julio Snow,male,56-65,Mountain Farm
Laura Rader,female,56-65,Mountain Farm
Jimmy Catalano,male,56-65,Mountain Farm
Margarita Martin,female,36-45,Mountain Farm
Marion Stoker,female,46-55,Mountain Farm
Steve Fisher,male,46-55,Mountain Farm
Elisa Ong,female,46-55,Mountain Farm
Irene Campbell,female,65+,Mountain Farm
Rosa Grappe,female,46-55,Mountain Farm
Lois Hussey,female,36-45,Mountain Farm
Humberto Oliva,male,46-55,Mountain Farm
Melvin Lewis,male,46-55,Mountain Farm
Brian Ulrich,male,56-65,Riverside
Paul Cochran,male,65+,Mountain Farm
Michael Storey,male,46-55,Mountain Farm
Kim Perez,female,56-65,Mountain Farm
Ernestina Phillips,female,36-45,Mountain Farm
Randall Long,male,46-55,Riverside
Geneva Olson,female,46-55,Mountain Farm
Ashley Miller,female,65+,Mountain Farm
Kelly Cowen,female,46-55,Mountain Farm
Verna Raby,female,56-65,Mountain Farm
Tonya Medina,female,56-65,Mountain Farm
Lloyd Duesterhaus,male,46-55,Mountain Farm
Richard Carnillo,male,56-65,Black
Timothy Kessler,male,46-55,Black
Johnny Jones,male,36-45,Mountain Farm
Robert Poole,male,56-65,Mountain Farm
Adrian Graham,male,65+,Mountain Farm
Patrick Jenkins,male,65+,Mountain Farm
Victoria Nielson,female,46-55,Mountain Farm
Sylvia Milam,female,65+,Mountain Farm
Gabrielle Jaegers,female,65+,Mountain Farm
Annie Bueno,female,56-65,Mountain Farm
Doris Wal,female,46-55,Mountain Farm
Maxine Jones,female,36-45,Mountain Farm
Charles Hatley,male,36-45,Black
Betty Zamora,female,46-55,Black
Daniel Turley,male,46-55,Mountain Farm
Bernard Chevrette,male,56-65,Mountain Farm
Carolyn Shrader,female,36-45,Mountain Farm
Kristie Greer,female,46-55,Mountain Farm
Maria Tippins,female,46-55,Mountain Farm
Wendell Lando,male,56-65,Mountain Farm
William Figgs,male,65+,Mountain Farm
Nathan King,male,65+,Mountain Farm
Rodney White,male,65+,Mountain Farm
Fern Butler,female,65+,Mountain Farm
Jeffery Bolduc,male,65+,Mountain Farm
Nicole Turner,female,26-35,Mountain Farm
Ernest Sanchez,male,36-45,Mountain Farm
Louis Glover,male,56-65,Mountain Farm
Nola Mccall,female,36-45,Black
Dorothy Rogers,female,65+,Mountain Farm
Max Rojas,male,36-45,Mountain Farm
John Gallup,male,46-55,Mountain Farm
Claudia Carl,female,46-55,Mountain Farm
Peter Crocker,male,56-65,Black
Kyle Chaidez,male,36-45,Mountain Farm
Elmer Sharma,male,56-65,Mountain Farm
Ralph Pittman,male,65+,Mountain Farm
Michael Lisk,male,46-55,Mountain Farm
Shelia Cook,female,65+,Mountain Farm
Randal Burns,male,65+,Mountain Farm
Melvin Strunk,male,46-55,Mountain Farm
Claudette Serisky,female,65+,Mountain Farm
Kelley Patten,female,36-45,Mountain Farm
Robert Clark,male,46-55,Mountain Farm
Megan Gardner,female,46-55,Black
John White,male,36-45,Mountain Farm
Julia Moss,female,46-55,Mountain Farm
Timothy Yoes,male,56-65,Mountain Farm
Terri Graham,female,56-65,Mountain Farm
Ray Black,male,46-55,Mountain Farm
Ruby Magnall,female,65+,Mountain Farm
Thomas Ezell,male,46-55,Mountain Farm
Nancy Love,female,46-55,Mountain Farm
Ellen Mckenzie,female,46-55,Mountain Farm
Robert Stpierre,male,46-55,Mountain Farm
Brent Arnold,male,65+,Black
Maria Campbell,female,46-55,Mountain Farm
Davis Barry,male,46-55,Mountain Farm
Lula Chappell,female,56-65,Mountain Farm
Diana Bartolome,female,56-65,Mountain Farm
Laura Linke,female,56-65,Bailey
Tyrone Aucoin,male,46-55,Mountain Farm
Evan Olson,male,65+,Riverside
Randy Cunningham,male,56-65,Mountain Farm
Marian Diaz,female,56-65,Mountain Farm
Melvin Upson,male,65+,Mountain Farm
Louise Craig,female,56-65,Mountain Farm
Michelle Savage,female,65+,Bailey
Dannielle Scott,female,46-55,Mountain Farm
Ray Lancaster,male,46-55,Mountain Farm
Clinton Ellison,male,36-45,Mountain Farm
Anthony Hall,male,65+,Mountain Farm
Brent Gonzalez,male,56-65,Mountain Farm
Tyler Sardina,male,36-45,Mountain Farm
Dennis Hood,male,36-45,Black
Lori Fitts,female,36-45,Mountain Farm
David Kelley,male,65+,Mountain Farm
Luis Walsh,male,26-35,Bailey
Mary Benson,female,46-55,Mountain Farm
Guy Burns,male,46-55,Riverside
Eleanor Arnold,female,36-45,Mountain Farm
Stephen Johnson,male,46-55,Mountain Farm
Kenneth Diaz,male,46-55,Bailey
Tiffany Larson,female,46-55,Mountain Farm
Justin Meyer,male,56-65,Black
Clint Young,male,46-55,Black
David Dillard,male,46-55,Mountain Farm
Marian Giles,female,36-45,Riverside
Mary Logan,female,56-65,Mountain Farm
Susan Thompson,female,65+,Mountain Farm
Kimberly Scheer,female,46-55,Mountain Farm
Clarence Britton,male,26-35,Mountain Farm
Sharon Sweat,female,46-55,Mountain Farm
Larry Plessinger,male,18-25,Mountain Farm
Edward Soto,male,36-45,Mountain Farm
Candace Barrera,female,46-55,Mountain Farm
Casandra Stevenson,female,56-65,Mountain Farm
Sharon Harrison,female,46-55,Riverside
Shawn Schwartz,male,36-45,Mountain Farm
Fawn Richards,female,65+,Bailey
Eloy Crane,male,46-55,Mountain Farm
Amparo Flores,female,46-55,Mountain Farm
Jeff Love,male,36-45,Mountain Farm
Patrick Foronda,male,46-55,Mountain Farm
Nelda Fitzgerald,female,46-55,Mountain Farm
Richard Dodd,male,56-65,Mountain Farm
Robert Burrell,male,56-65,Mountain Farm
Hazel Schilling,female,46-55,Black
Jeffrey Sadler,male,56-65,Mountain Farm
Heather Botkins,female,18-25,Mountain Farm
Mark Schuller,male,36-45,Riverside
Antonia Cherry,female,46-55,Riverside
Debra Rzeczycki,female,36-45,Mountain Farm
Kevin Calhoun,male,46-55,Mountain Farm
Stella Ashford,female,36-45,Mountain Farm
Walter Oneal,male,46-55,Mountain Farm
Frank Meyer,male,65+,Mountain Farm
Gary Lehn,male,46-55,Mountain Farm
Judy Corda,female,36-45,Mountain Farm
Luz Weinbauer,female,36-45,Mountain Farm
Christine Ham,female,65+,Riverside
Cecil Barrios,male,56-65,Mountain Farm
Teresa Hickman,female,36-45,Mountain Farm
Janet Berryman,female,46-55,Riverside
Cynthia Williams,female,46-55,Bailey
David Mincks,male,36-45,Mountain Farm
Kelli Ramirez,female,46-55,Mountain Farm
Cynthia Chiariello,female,65+,Mountain Farm
Ryan Muilenburg,male,36-45,Mountain Farm
Colleen Watson,female,56-65,Mountain Farm
George Ash,male,46-55,Mountain Farm
William Conzemius,male,46-55,Mountain Farm
Lillian Lair,female,36-45,Bailey
Marie Pitts,female,46-55,Mountain Farm
Kathleen Masse,female,46-55,Mountain Farm
Derek Lapierre,male,65+,Black
Lamar Mcfarland,male,65+,Bailey
Alonzo Brock,male,56-65,Mountain Farm
John Caster,male,46-55,Mountain Farm
James Douglas,male,46-55,Mountain Farm
Victor Morris,male,65+,Riverside
Donna Easterling,female,46-55,Mountain Farm
Mary Mcadoo,female,46-55,Mountain Farm
Robert Suber,male,65+,Mountain Farm
Gina Foster,female,65+,Mountain Farm
Walter Martin,male,46-55,Mountain Farm
Ivan Hallack,male,46-55,Mountain Farm
Donna Lee,female,46-55,Black
Violet Decker,female,56-65,Mountain Farm
Martin Ephriam,male,65+,Mountain Farm
Rhonda Clark,female,56-65,Mountain Farm
Ashley Nunez,female,36-45,Mountain Farm
April Leary,female,65+,Mountain Farm
Donald Sheldon,male,46-55,Mountain Farm
Jeremy Dodgen,male,46-55,Mountain Farm
Sherri Grissinger,female,46-55,Mountain Farm
Mary Smith,female,56-65,Black
Manuel Myers,male,65+,Mountain Farm
Sharon Pidgeon,female,46-55,Mountain Farm
Willie Elliott,female,46-55,Mountain Farm
William Brown,male,46-55,Riverside
Gloria Bulter,female,65+,Mountain Farm
Todd Elmore,male,46-55,Mountain Farm
Phillip Gregory,male,46-55,Mountain Farm
Marion Callaghan,female,46-55,Mountain Farm
Gary Walker,male,65+,Mountain Farm
Conrad Hogan,male,65+,Riverside
Craig Stevens,male,56-65,Mountain Farm
Jon Jaramillo,male,56-65,Riverside
Sandra Arnold,female,18-25,Mountain Farm
Kathleen Martin,female,56-65,Mountain Farm
Larry Lampley,male,46-55,Black
Earl Hardebeck,male,36-45,Mountain Farm
Latoya James,female,46-55,Mountain Farm
Harrison Tidwell,male,46-55,Mountain Farm
Harold Finneran,male,46-55,Riverside
Jennifer Oliver,female,36-45,Mountain Farm
Linda Smith,female,46-55,Mountain Farm
Sandra Howard,female,65+,Mountain Farm
Brandon Moro,male,56-65,Mountain Farm
Patricia Zavala,female,46-55,Mountain Farm
Michelle Bake,female,65+,Mountain Farm
Geraldine Stathopoulos,female,56-65,Mountain Farm
Teresa Wright,female,56-65,Bailey
Jane Wood,female,65+,Mountain Farm
Cynthia Nelms,female,65+,Mountain Farm
Lynette Bousquet,female,65+,Bailey
Maura Harrington,female,46-55,Mountain Farm
Willie Brailey,female,65+,Mountain Farm
Florence Nevins,female,56-65,Riverside
Dale Sparks,male,36-45,Mountain Farm
Loyd Kirschner,male,46-55,Mountain Farm
Amy Dingle,female,56-65,Mountain Farm
Nicholas Welch,male,46-55,Mountain Farm
Sharon Paterniti,female,65+,Mountain Farm
Gary Richter,male,46-55,Mountain Farm
Ann Dorr,female,36-45,Mountain Farm
Michael Quarles,male,65+,Mountain Farm
Ray Buchanan,male,46-55,Mountain Farm
Tiffany Cady,female,46-55,Mountain Farm
Sarah Riley,female,26-35,Mountain Farm
Theresa Brown,female,46-55,Mountain Farm
Samuel Zurasky,male,46-55,Mountain Farm
Nathaniel Jones,male,46-55,Mountain Farm
Kelly Painter,female,56-65,Mountain Farm
Thelma Kraft,female,46-55,Mountain Farm
Christian Fagan,female,65+,Mountain Farm
Inez Lytle,female,56-65,Mountain Farm
Frank Reynolds,male,46-55,Riverside
Aaron Dockery,male,36-45,Mountain Farm
Edna Rexroad,female,65+,Black
Aundrea Hutchins,female,46-55,Mountain Farm
Amy Cummings,female,46-55,Mountain Farm
Doreen Mcdonald,female,36-45,Black
Drew Ray,male,65+,Mountain Farm
Rosemary Starkey,female,36-45,Mountain Farm
Michael Roberts,male,65+,Mountain Farm
Edward Davis,male,46-55,Riverside
Robert Simons,male,46-55,Mountain Farm
Gregory Carter,male,65+,Mountain Farm
Donald Bibber,male,46-55,Mountain Farm
Gussie Davis,female,46-55,Mountain Farm
Robert Delgadillo,male,65+,Mountain Farm
Donald Madsen,male,46-55,Mountain Farm
James Napper,male,65+,Riverside
Todd Robinson,male,46-55,Mountain Farm
Marita Leach,female,36-45,Mountain Farm
Kevin Villarreal,male,46-55,Mountain Farm
Jeffrey Rashid,male,65+,Mountain Farm
Brett Daugherty,male,56-65,Mountain Farm
Lester Donaldson,male,65+,Mountain Farm
Raymond Adams,male,65+,Mountain Farm
Charles Sanchez,male,46-55,Mountain Farm
Erica Fant,female,46-55,Mountain Farm
Antonio Bell,male,65+,Black
Jessie Konty,female,56-65,Mountain Farm
Kenneth Haynes,male,18-25,Mountain Farm
Tommy Smith,male,36-45,Mountain Farm
Christine Wood,female,46-55,Bailey
Sandra Deshaw,female,56-65,Mountain Farm
Roger Payne,male,65+,Mountain Farm
Linda Waldo,female,56-65,Mountain Farm
Walter Roberts,male,56-65,Mountain Farm
Nicolas Collins,male,56-65,Mountain Farm
Timothy Foronda,male,36-45,Mountain Farm
Benjamin Lewis,male,36-45,Mountain Farm
Liliana Bartram,female,65+,Mountain Farm
David Santana,male,56-65,Mountain Farm
Steven Peterson,male,46-55,Mountain Farm
Rebecca Haselton,female,36-45,Mountain Farm
Nettie Garcia,female,36-45,Mountain Farm
Sonja Boldt,female,65+,Mountain Farm
Lois Zee,female,56-65,Riverside
Alice Marks,female,46-55,Mountain Farm
Christine Bonnette,female,65+,Mountain Farm
David Ortiz,male,46-55,Mountain Farm
Michael Peraza,male,36-45,Mountain Farm
Ronald Cruz,male,56-65,Mountain Farm
Richard Martel,male,65+,Mountain Farm
Peter Salazar,male,36-45,Mountain Farm
Daphne Vanzee,female,46-55,Mountain Farm
Hilary Islas,female,46-55,Riverside
Curtis Otsuka,male,56-65,Riverside
Harold Salvador,male,56-65,Mountain Farm
Scott Allen,male,46-55,Mountain Farm
Hershel Madrid,male,46-55,Mountain Farm
Claire Copeland,female,65+,Mountain Farm
Randy Ramsey,male,46-55,Riverside
Logan Campbell,female,36-45,Mountain Farm
Cassie Jeffrie,female,46-55,Mountain Farm
William Thompson,male,65+,Mountain Farm
Rosario Havard,female,65+,Mountain Farm
George Hopkins,male,36-45,Mountain Farm
John Miller,male,46-55,Mountain Farm
David Gantz,male,36-45,Mountain Farm
Blossom Bisard,female,56-65,Mountain Farm
Susy Doepke,female,65+,Mountain Farm
Frederick Speer,male,56-65,Mountain Farm
James Church,male,46-55,Mountain Farm
William Simmons,male,46-55,Mountain Farm
Nancy Rawe,female,65+,Mountain Farm
Blanche Slaubaugh,female,36-45,Mountain Farm
Ruby Huggins,female,46-55,Mountain Farm
Brett Gunter,male,56-65,Riverside
Roberto Steele,male,56-65,Mountain Farm
Catharine Wiggains,female,18-25,Mountain Farm
Gillian Johnson,female,46-55,Mountain Farm
Nina Salmons,female,65+,Mountain Farm
Mario Caffee,male,65+,Riverside
Claudia Corda,female,46-55,Mountain Farm
David Tongate,male,46-55,Mountain Farm
Dorris Harris,female,46-55,Mountain Farm
Carmen Mata,female,56-65,Mountain Farm
Sharon Dougherty,female,26-35,Mountain Farm
Thomas Boey,male,65+,Riverside
Dewayne Frey,male,56-65,Mountain Farm
Renay Hiers,female,46-55,Mountain Farm
Harriett Dupre,female,56-65,Mountain Farm
Charles Becker,male,46-55,Mountain Farm
Kevin Green,male,56-65,Mountain Farm
Josephine Donald,female,36-45,Mountain Farm
Joanne Branham,female,18-25,Mountain Farm
Larry Wauch,male,46-55,Mountain Farm
Michelle Abercrombie,female,56-65,Mountain Farm
Norman Elliott,male,46-55,Mountain Farm
Donna Hattley,female,56-65,Mountain Farm
Robert Martinez,male,65+,Mountain Farm
David Bradshaw,male,46-55,Mountain Farm
Steven Trujillo,male,36-45,Mountain Farm
John Riddick,male,46-55,Riverside
Jason Ruelas,male,56-65,Mountain Farm
David Martinez,male,65+,Black
Andrew Starbuck,male,46-55,Mountain Farm
Sandra Turner,female,46-55,Mountain Farm
Lucille Malley,female,56-65,Mountain Farm
Tracy Thomas,male,56-65,Bailey
Robby Compton,male,46-55,Riverside
Dave Altom,male,65+,Mountain Farm
Michael Hasan,male,56-65,Mountain Farm
Mark Morris,male,46-55,Mountain Farm
Mary Fletcher,female,46-55,Mountain Farm
Reginald Dean,male,46-55,Mountain Farm
Bruce Klemm,male,56-65,Riverside
Daryl Mcgill,male,56-65,Mountain Farm
Milton Doherty,male,65+,Mountain Farm
Bertie Bodkin,female,65+,Mountain Farm
Marvin Lusk,male,36-45,Mountain Farm
Donna Thompson,female,46-55,Black
Richard Casavez,male,46-55,Riverside
Therese Frohling,female,36-45,Bailey
Casey Parks,male,46-55,Bailey
Thomas Gieger,male,46-55,Mountain Farm
Pennie Hopkins,female,46-55,Mountain Farm
Wilson Gibson,male,46-55,Mountain Farm
Sabrina Johnson,female,46-55,Mountain Farm
Violet Bapties,female,65+,Mountain Farm
Kerry Wallace,female,36-45,Mountain Farm
Doris Auer,female,46-55,Black
Jesus Butler,male,65+,Mountain Farm
Dorothy Vandenberg,female,56-65,Mountain Farm
Nathaniel Albanese,male,56-65,Mountain Farm
Donna Grimes,female,65+,Mountain Farm
Kaitlin Harris,female,46-55,Mountain Farm
Matthew Harris,male,46-55,Riverside
Amy Thomas,female,36-45,Mountain Farm
Stephen Spicer,male,56-65,Mountain Farm
Susan Richardson,female,36-45,Mountain Farm
Alison Velasco,female,65+,Mountain Farm
Ned Lore,male,56-65,Mountain Farm
John White,male,46-55,Riverside
Lauren Howard,female,56-65,Black
Laura Alvarez,female,56-65,Mountain Farm
Jamie Edwards,female,56-65,Black
Sophia Smith,female,36-45,Mountain Farm
Alice Jensen,female,26-35,Mountain Farm
Shirley Mendoza,female,46-55,Bailey
Gloria Mendez,female,36-45,Black
Warren Koh,male,36-45,Mountain Farm
William Brown,male,46-55,Mountain Farm
Alan Desbiens,male,56-65,Black
Frank Hershman,male,56-65,Mountain Farm
Stephanie Smith,female,36-45,Riverside
Ruby Thomas,female,46-55,Mountain Farm
Bessie Botkin,female,36-45,Mountain Farm
Jason Peterson,male,26-35,Black
Terry Jones,male,46-55,Mountain Farm
Timothy Vasquez,male,46-55,Mountain Farm
Mary Shelton,female,36-45,Mountain Farm
Richard Meade,male,46-55,Mountain Farm
Thomas Jones,male,46-55,Mountain Farm
Josue Miller,male,36-45,Mountain Farm
Julie Mccandless,female,65+,Mountain Farm
Deborah Butler,female,56-65,Mountain Farm
Kenneth Mertz,male,56-65,Mountain Farm
Ruth Musick,female,56-65,Mountain Farm
Antoine Boatner,male,36-45,Riverside
Nicholas Gourdine,male,46-55,Mountain Farm
Sandra Jefferson,female,56-65,Mountain Farm
Lloyd Baker,male,46-55,Mountain Farm
Emilia Beane,female,36-45,Mountain Farm
John Rea,male,65+,Mountain Farm
Arthur Pearce,male,36-45,Bailey
Jennifer Young,female,46-55,Mountain Farm
Marie Barrett,female,56-65,Mountain Farm
Bobbie Pitpitan,male,65+,Mountain Farm
Ruth Dalton,female,36-45,Mountain Farm
Herman Mitchell,male,56-65,Mountain Farm
Leah Salcido,female,36-45,Riverside
Larry Giddins,male,56-65,Mountain Farm
Thomas Duncan,male,65+,Riverside
Robert Merlino,male,46-55,Mountain Farm
Claude Moore,male,46-55,Mountain Farm
Robert Chapman,male,65+,Bailey
Angela Baggesen,female,46-55,Bailey
Curtis Hill,male,56-65,Mountain Farm
Agnes Vandamme,female,65+,Mountain Farm
Matthew Macaraeg,male,46-55,Mountain Farm
Elaine Stitt,female,56-65,Mountain Farm
Alfred Crockett,male,65+,Mountain Farm
Madelyn Walker,female,36-45,Mountain Farm
Maureen Higgins,female,56-65,Mountain Farm
Michael Wert,male,56-65,Black
Jodi Torres,female,46-55,Mountain Farm
Brenda Rieker,female,56-65,Black
Suzanne Dixon,female,56-65,Riverside
Richard Farrell,male,36-45,Bailey
Haydee Pascanik,female,46-55,Mountain Farm
Karen Giraldo,female,46-55,Mountain Farm
Michael Motil,male,65+,Mountain Farm
Darrell Shelton,male,46-55,Black
Gladys Castillo,female,56-65,Mountain Farm
Lester Riddle,male,65+,Mountain Farm
Tommy Burtt,male,56-65,Mountain Farm
Martin Prince,male,18-25,Riverside
Gail Nguyen,female,26-35,Mountain Farm
Patricia Miller,female,65+,Black
Denise Fitzgerald,female,46-55,Mountain Farm
Brenda Gaddy,female,56-65,Riverside
Michael Quarles,male,36-45,Mountain Farm
Walter Rice,male,46-55,Mountain Farm
Misti Alaniz,female,46-55,Mountain Farm
Edward Alsup,male,36-45,Mountain Farm
Alice Lee,female,56-65,Mountain Farm
Pablo Lee,male,46-55,Mountain Farm
April Hsiao,female,36-45,Mountain Farm
Robin Hawks,female,36-45,Riverside
Florence Ball,female,46-55,Mountain Farm
Kimberly Peak,female,46-55,Mountain Farm
Carl Bowen,male,46-55,Mountain Farm
Jannie Berry,female,46-55,Mountain Farm
Terry Thomas,female,46-55,Mountain Farm
Dianna Brown,female,46-55,Black
Winston Gutierrez,male,26-35,Mountain Farm
Anna Johnson,female,36-45,Mountain Farm
Kristen Cowie,female,46-55,Mountain Farm
Alise Beisch,female,36-45,Mountain Farm
Sarah Clay,female,46-55,Mountain Farm
Carrie Dominguez,female,36-45,Mountain Farm
Pauline Leffert,female,65+,Black
Frank Robinson,male,46-55,Mountain Farm
Earl Bynum,male,65+,Mountain Farm
Eunice Norman,female,56-65,Mountain Farm
Jennifer Gibson,female,46-55,Mountain Farm
Clarence Tolley,male,46-55,Black
John Lawrence,male,56-65,Bailey
Deborah Miramontes,female,56-65,Mountain Farm
William Smith,male,36-45,Black
Georgia Miller,female,36-45,Mountain Farm
John Cruz,male,46-55,Mountain Farm
Thomas Bain,male,46-55,Mountain Farm
Johnny Wade,male,56-65,Mountain Farm
Vickie Griglen,female,36-45,Mountain Farm
Rena Westerfield,female,56-65,Riverside
Francisco Poque,male,46-55,Mountain Farm
Robert Hammonds,male,65+,Black
Clinton Gowdy,male,56-65,Mountain Farm
Philip Acosta,male,56-65,Mountain Farm
Lee Mcclendon,female,56-65,Mountain Farm
Frances Murdock,female,46-55,Mountain Farm
Mark Little,male,36-45,Mountain Farm
Roger Miller,male,65+,Mountain Farm
Brenda Chase,female,65+,Black
Janet Hill,female,56-65,Mountain Farm
Jacob Dunn,male,36-45,Mountain Farm
Kathleen Faulkner,female,65+,Mountain Farm
Kellie Craig,female,46-55,Mountain Farm
Scott Barber,male,46-55,Mountain Farm
Michael Kluz,male,46-55,Mountain Farm
Celeste Walker,female,65+,Mountain Farm
Stanley Smith,male,36-45,Riverside
Mary Mcauley,female,56-65,Mountain Farm
Tony Johnson,male,65+,Mountain Farm
Pamela Ayuso,female,56-65,Mountain Farm
Ismael Simmons,male,46-55,Black
Regina Litaker,female,46-55,Black
James Shevlin,male,46-55,Mountain Farm
Billy Tyus,female,46-55,Mountain Farm
Vincent Stewart,male,46-55,Mountain Farm
Edgar Kelley,male,46-55,Mountain Farm
Ardith Canon,female,46-55,Mountain Farm
Anita Case,female,46-55,Mountain Farm
Robert Heikes,male,56-65,Mountain Farm
Rhonda Worsley,female,56-65,Mountain Farm
Isaac Rios,male,65+,Mountain Farm
Edward Soloveichik,male,56-65,Bailey
Linda Woodruff,female,46-55,Mountain Farm
Daniel Harder,male,46-55,Mountain Farm
Jamaal Delgado,male,46-55,Riverside
Stephen Banda,male,46-55,Riverside
Eugene Ackley,male,46-55,Mountain Farm
Eric Gordon,male,46-55,Mountain Farm
Dorothy Maxey,female,65+,Mountain Farm
Clyde Fine,male,46-55,Riverside
Patricia Williams,female,56-65,Mountain Farm
Jarvis Graham,male,18-25,Mountain Farm
Robert Behling,male,56-65,Bailey
John Walker,male,65+,Mountain Farm
Christopher Marrero,male,56-65,Mountain Farm
Michele Gillian,female,36-45,Riverside
Adam Carroll,male,65+,Mountain Farm
Leroy Mason,male,36-45,Mountain Farm
Mary Baumbach,female,65+,Riverside
Joe Drinkwater,male,56-65,Mountain Farm
Dorothy Gordon,female,46-55,Black
Carrie Herrera,female,56-65,Riverside
Melissa Moser,female,56-65,Mountain Farm
David Wagner,male,46-55,Mountain Farm
Xavier Nguyen,male,56-65,Riverside
Heather Greene,female,56-65,Mountain Farm
John Sentell,male,56-65,Mountain Farm
Susan Nattiah,female,56-65,Mountain Farm
Eddie Bailey,female,46-55,Mountain Farm
Jack Bell,male,36-45,Mountain Farm
Jennifer Collins,female,46-55,Mountain Farm
Matthew Wise,male,56-65,Mountain Farm
Ralph Johnson,male,36-45,Mountain Farm
Mary Dahlberg,female,65+,Mountain Farm
Robert Vogt,male,36-45,Mountain Farm
Mildred Garrison,female,46-55,Mountain Farm
Brain Knight,male,36-45,Mountain Farm
Javier Bennett,male,56-65,Mountain Farm
