Voter,Gender,Age,Shares
Guy Burns,male,46-55,1
Eleanor Arnold,female,18-25,1
Stephen Johnson,male,65+,1
Kenneth Diaz,male,36-45,1
Tiffany Larson,female,36-45,1
Justin Meyer,male,46-55,1
Clint Young,male,46-55,1
David Dillard,male,46-55,1
Marian Giles,female,46-55,1
Mary Logan,female,36-45,1
Susan Thompson,female,46-55,6
Kimberly Scheer,female,65+,1
Clarence Britton,male,65+,1
Sharon Sweat,female,56-65,1
Larry Plessinger,male,65+,1
Edward Soto,male,36-45,1
Candace Barrera,female,65+,4
Casandra Stevenson,female,65+,1
Sharon Harrison,female,56-65,1
Shawn Schwartz,male,46-55,2
Fawn Richards,female,46-55,1
Eloy Crane,male,46-55,2
Amparo Flores,female,36-45,1
Jeff Love,male,56-65,1
Patrick Foronda,male,56-65,7
Nelda Fitzgerald,female,46-55,1
Richard Dodd,male,46-55,1
Robert Burrell,male,36-45,1
Hazel Schilling,female,46-55,3
Jeffrey Sadler,male,56-65,1
Heather Botkins,female,56-65,1
Mark Schuller,male,56-65,1
Antonia Cherry,female,46-55,1
Debra Rzeczycki,female,56-65,6
Kevin Calhoun,male,65+,2
Stella Ashford,female,46-55,1
Walter Oneal,male,46-55,1
Frank Meyer,male,65+,1
Gary Lehn,male,46-55,1
Judy Corda,female,65+,15
Luz Weinbauer,female,36-45,1
Christine Ham,female,46-55,1
Cecil Barrios,male,46-55,1
Teresa Hickman,female,46-55,3
Janet Berryman,female,46-55,3
Cynthia Williams,female,46-55,1
David Mincks,male,56-65,1
Kelli Ramirez,female,26-35,1
Cynthia Chiariello,female,56-65,1
Ryan Muilenburg,male,36-45,1
Colleen Watson,female,46-55,1
George Ash,male,36-45,1
William Conzemius,male,56-65,1
Lillian Lair,female,56-65,2
Marie Pitts,female,18-25,1
Kathleen Masse,female,36-45,1
Derek Lapierre,male,36-45,2
Lamar Mcfarland,male,46-55,1
Alonzo Brock,male,46-55,1
John Caster,male,46-55,5
James Douglas,male,56-65,3
Victor Morris,male,56-65,1
Donna Easterling,female,46-55,1
Mary Mcadoo,female,65+,1
Robert Suber,male,36-45,1
Gina Foster,female,65+,1
Walter Martin,male,36-45,1
Ivan Hallack,male,56-65,2
Donna Lee,female,36-45,1
Violet Decker,female,46-55,1
Martin Ephriam,male,36-45,1
Rhonda Clark,female,65+,1
Ashley Nunez,female,56-65,1
April Leary,female,46-55,1
Donald Sheldon,male,46-55,1
Jeremy Dodgen,male,65+,1
Sherri Grissinger,female,18-25,1
Mary Smith,female,46-55,1
Manuel Myers,male,46-55,1
Sharon Pidgeon,female,46-55,1
Willie Elliott,female,46-55,1
William Brown,male,46-55,1
Gloria Bulter,female,65+,1
Todd Elmore,male,65+,9
Phillip Gregory,male,56-65,1
Marion Callaghan,female,36-45,1
Gary Walker,male,46-55,1
Conrad Hogan,male,46-55,1
Craig Stevens,male,65+,1
Jon Jaramillo,male,65+,1
Sandra Arnold,female,46-55,3
Kathleen Martin,female,46-55,2
Larry Lampley,male,36-45,1
Earl Hardebeck,male,46-55,1
Latoya James,female,65+,1
Harrison Tidwell,male,46-55,1
Harold Finneran,male,56-65,1
Jennifer Oliver,female,36-45,1
Linda Smith,female,46-55,1
Sandra Howard,female,46-55,1
Brandon Moro,male,36-45,2
Patricia Zavala,female,46-55,1
Michelle Bake,female,26-35,1
Geraldine Stathopoulos,female,46-55,2
Teresa Wright,female,46-55,1
Jane Wood,female,46-55,1
Cynthia Nelms,female,65+,1
Lynette Bousquet,female,46-55,1
Maura Harrington,female,65+,3
Willie Brailey,female,65+,3
Florence Nevins,female,46-55,1
Dale Sparks,male,56-65,3
Loyd Kirschner,male,46-55,1
Amy Dingle,female,18-25,1
Nicholas Welch,male,46-55,1
Sharon Paterniti,female,36-45,1
Gary Richter,male,65+,1
Ann Dorr,female,56-65,1
Michael Quarles,male,65+,1
Ray Buchanan,male,46-55,1
Tiffany Cady,female,46-55,1
Sarah Riley,female,46-55,1
Theresa Brown,female,46-55,2
Samuel Zurasky,male,56-65,1
Nathaniel Jones,male,46-55,1
Kelly Painter,female,18-25,1
Thelma Kraft,female,46-55,1
Christian Fagan,female,46-55,9
Inez Lytle,female,56-65,14
Frank Reynolds,male,46-55,1
Aaron Dockery,male,65+,1
Edna Rexroad,female,46-55,3
Aundrea Hutchins,female,65+,1
Amy Cummings,female,56-65,1
Doreen Mcdonald,female,65+,1
Drew Ray,male,56-65,2
Rosemary Starkey,female,46-55,1
Michael Roberts,male,46-55,2
Edward Davis,male,46-55,1
Robert Simons,male,46-55,1
Gregory Carter,male,36-45,1
Donald Bibber,male,36-45,2
Gussie Davis,female,46-55,1
Robert Delgadillo,male,56-65,1
Donald Madsen,male,56-65,1
James Napper,male,36-45,1
Todd Robinson,male,65+,1
Marita Leach,female,46-55,1
Kevin Villarreal,male,46-55,1
Jeffrey Rashid,male,46-55,1
Brett Daugherty,male,36-45,1
Lester Donaldson,male,56-65,1
Raymond Adams,male,46-55,2
Charles Sanchez,male,65+,1
Erica Fant,female,36-45,1
Antonio Bell,male,65+,1
Jessie Konty,female,46-55,2
Kenneth Haynes,male,46-55,1
Tommy Smith,male,65+,1
Christine Wood,female,36-45,1
Sandra Deshaw,female,36-45,1
Roger Payne,male,46-55,1
Linda Waldo,female,46-55,1
Walter Roberts,male,36-45,1
Nicolas Collins,male,65+,1
Timothy Foronda,male,36-45,9
Benjamin Lewis,male,46-55,1
Liliana Bartram,female,36-45,2
David Santana,male,56-65,2
Steven Peterson,male,36-45,1
Rebecca Haselton,female,36-45,1
Nettie Garcia,female,46-55,4
Sonja Boldt,female,65+,1
Lois Zee,female,65+,7
Alice Marks,female,46-55,1
Christine Bonnette,female,56-65,1
David Ortiz,male,46-55,7
Michael Peraza,male,46-55,1
Ronald Cruz,male,46-55,1
Richard Martel,male,46-55,1
Peter Salazar,male,46-55,1
Daphne Vanzee,female,56-65,7
Hilary Islas,female,65+,1
Curtis Otsuka,male,46-55,1
Harold Salvador,male,46-55,2
Scott Allen,male,65+,14
Hershel Madrid,male,65+,2
Claire Copeland,female,65+,1
Randy Ramsey,male,46-55,1
Logan Campbell,female,46-55,1
Cassie Jeffrie,female,46-55,4
William Thompson,male,46-55,1
Rosario Havard,female,26-35,1
George Hopkins,male,46-55,10
John Miller,male,46-55,1
David Gantz,male,46-55,1
Blossom Bisard,female,46-55,1
Susy Doepke,female,46-55,1
Frederick Speer,male,46-55,1
James Church,male,46-55,6
William Simmons,male,18-25,1
Nancy Rawe,female,46-55,1
Blanche Slaubaugh,female,46-55,7
Ruby Huggins,female,56-65,1
Brett Gunter,male,36-45,1
Roberto Steele,male,46-55,2
Catharine Wiggains,female,56-65,2
Gillian Johnson,female,65+,9
Nina Salmons,female,46-55,1
Mario Caffee,male,65+,1
Claudia Corda,female,46-55,2
David Tongate,male,46-55,1
Dorris Harris,female,46-55,1
Carmen Mata,female,46-55,1
Sharon Dougherty,female,46-55,1
Thomas Boey,male,46-55,1
Dewayne Frey,male,56-65,1
Renay Hiers,female,36-45,1
Harriett Dupre,female,46-55,1
Charles Becker,male,56-65,1
Kevin Green,male,36-45,2
Josephine Donald,female,56-65,1
Joanne Branham,female,65+,1
Larry Wauch,male,65+,1
Michelle Abercrombie,female,56-65,1
Norman Elliott,male,46-55,1
Donna Hattley,female,36-45,1
Robert Martinez,male,56-65,1
David Bradshaw,male,56-65,7
Steven Trujillo,male,56-65,1
John Riddick,male,65+,1
Jason Ruelas,male,36-45,1
David Martinez,male,36-45,2
Andrew Starbuck,male,56-65,1
Sandra Turner,female,46-55,1
Lucille Malley,female,56-65,1
Tracy Thomas,male,65+,1
Robby Compton,male,56-65,1
Dave Altom,male,56-65,1
Michael Hasan,male,46-55,9
Mark Morris,male,46-55,2
Mary Fletcher,female,65+,1
Reginald Dean,male,46-55,14
Bruce Klemm,male,36-45,3
Daryl Mcgill,male,36-45,11
Milton Doherty,male,65+,1
Bertie Bodkin,female,56-65,1
Marvin Lusk,male,36-45,1
Donna Thompson,female,26-35,1
Richard Casavez,male,46-55,2
Therese Frohling,female,36-45,1
Casey Parks,male,46-55,1
Thomas Gieger,male,46-55,1
Pennie Hopkins,female,46-55,1
Wilson Gibson,male,65+,1
Sabrina Johnson,female,56-65,4
Violet Bapties,female,46-55,1
Kerry Wallace,female,46-55,3
Doris Auer,female,46-55,1
Jesus Butler,male,36-45,1
Dorothy Vandenberg,female,36-45,2
Nathaniel Albanese,male,46-55,11
Donna Grimes,female,56-65,1
Kaitlin Harris,female,36-45,3
Matthew Harris,male,56-65,1
Amy Thomas,female,46-55,1
Stephen Spicer,male,56-65,1
Susan Richardson,female,56-65,1
Alison Velasco,female,46-55,1
Ned Lore,male,36-45,7
John White,male,36-45,1
Lauren Howard,female,36-45,1
Laura Alvarez,female,46-55,4
Jamie Edwards,female,36-45,1
Sophia Smith,female,65+,1
Alice Jensen,female,36-45,1
Shirley Mendoza,female,56-65,1
Gloria Mendez,female,46-55,1
Warren Koh,male,46-55,4
William Brown,male,46-55,1
Alan Desbiens,male,46-55,3
Frank Hershman,male,56-65,1
Stephanie Smith,female,46-55,2
Ruby Thomas,female,36-45,3
Bessie Botkin,female,46-55,1
Jason Peterson,male,46-55,1
Terry Jones,male,46-55,4
Timothy Vasquez,male,46-55,3
Mary Shelton,female,46-55,1
Richard Meade,male,46-55,1
Thomas Jones,male,56-65,1
Josue Miller,male,65+,2
Julie Mccandless,female,36-45,1
Deborah Butler,female,36-45,5
Kenneth Mertz,male,65+,1
Ruth Musick,female,36-45,1
Antoine Boatner,male,46-55,1
Nicholas Gourdine,male,36-45,1
Sandra Jefferson,female,56-65,1
Lloyd Baker,male,65+,1
Emilia Beane,female,46-55,1
John Rea,male,65+,1
Arthur Pearce,male,46-55,1
Jennifer Young,female,56-65,1
Marie Barrett,female,65+,1
Bobbie Pitpitan,male,26-35,1
Ruth Dalton,female,36-45,3
Herman Mitchell,male,36-45,2
Leah Salcido,female,36-45,1
Larry Giddins,male,46-55,1
Thomas Duncan,male,46-55,1
Robert Merlino,male,65+,1
Claude Moore,male,65+,1
Robert Chapman,male,56-65,2
Angela Baggesen,female,46-55,1
Curtis Hill,male,56-65,9
Agnes Vandamme,female,56-65,4
Matthew Macaraeg,male,56-65,1
Elaine Stitt,female,56-65,1
Alfred Crockett,male,46-55,1
Madelyn Walker,female,46-55,1
Maureen Higgins,female,36-45,1
Michael Wert,male,36-45,1
Jodi Torres,female,56-65,1
Brenda Rieker,female,56-65,1
Suzanne Dixon,female,36-45,1
Richard Farrell,male,56-65,1
Haydee Pascanik,female,56-65,1
Karen Giraldo,female,46-55,1
Michael Motil,male,46-55,1
Darrell Shelton,male,65+,1
Gladys Castillo,female,65+,1
Lester Riddle,male,46-55,1
Tommy Burtt,male,46-55,1
Martin Prince,male,36-45,1
Gail Nguyen,female,65+,1
Patricia Miller,female,46-55,1
Denise Fitzgerald,female,46-55,1
Brenda Gaddy,female,36-45,2
Michael Quarles,male,56-65,1
Walter Rice,male,46-55,1
Misti Alaniz,female,56-65,1
Edward Alsup,male,46-55,1
Alice Lee,female,46-55,1
Pablo Lee,male,36-45,2
April Hsiao,female,56-65,1
Robin Hawks,female,36-45,3
Florence Ball,female,46-55,8
Kimberly Peak,female,36-45,1
Carl Bowen,male,65+,3
Jannie Berry,female,46-55,1
Terry Thomas,female,36-45,1
Dianna Brown,female,46-55,1
Winston Gutierrez,male,36-45,1
Anna Johnson,female,46-55,1
Kristen Cowie,female,65+,4
Alise Beisch,female,56-65,1
Sarah Clay,female,46-55,1
Carrie Dominguez,female,46-55,1
Pauline Leffert,female,46-55,2
Frank Robinson,male,46-55,1
Earl Bynum,male,36-45,1
Eunice Norman,female,46-55,1
Jennifer Gibson,female,36-45,1
Clarence Tolley,male,36-45,1
John Lawrence,male,18-25,1
Deborah Miramontes,female,46-55,1
William Smith,male,36-45,2
Georgia Miller,female,56-65,1
John Cruz,male,65+,1
Thomas Bain,male,65+,1
Johnny Wade,male,56-65,1
Vickie Griglen,female,56-65,1
Rena Westerfield,female,46-55,1
Francisco Poque,male,46-55,1
Robert Hammonds,male,36-45,2
Clinton Gowdy,male,46-55,6
Philip Acosta,male,65+,1
Lee Mcclendon,female,46-55,1
Frances Murdock,female,46-55,1
Mark Little,male,65+,1
Roger Miller,male,36-45,1
Brenda Chase,female,56-65,6
Janet Hill,female,65+,1
Jacob Dunn,male,36-45,1
Kathleen Faulkner,female,56-65,3
Kellie Craig,female,46-55,1
Scott Barber,male,36-45,1
Michael Kluz,male,46-55,1
Celeste Walker,female,65+,1
Stanley Smith,male,65+,1
Mary Mcauley,female,46-55,1
Tony Johnson,male,56-65,1
Pamela Ayuso,female,46-55,1
Ismael Simmons,male,46-55,1
Regina Litaker,female,65+,1
James Shevlin,male,56-65,1
Billy Tyus,female,46-55,1
Vincent Stewart,male,36-45,1
Edgar Kelley,male,46-55,1
Ardith Canon,female,65+,1
Anita Case,female,36-45,1
Robert Heikes,male,36-45,1
Rhonda Worsley,female,56-65,1
Isaac Rios,male,56-65,1
Edward Soloveichik,male,46-55,2
Linda Woodruff,female,46-55,1
Daniel Harder,male,65+,1
Jamaal Delgado,male,46-55,6
Stephen Banda,male,36-45,1
Eugene Ackley,male,56-65,4
Eric Gordon,male,36-45,1
Dorothy Maxey,female,46-55,1
Clyde Fine,male,46-55,1
Patricia Williams,female,56-65,1
Jarvis Graham,male,56-65,2
Robert Behling,male,65+,61
John Walker,male,65+,1
Christopher Marrero,male,46-55,7
Michele Gillian,female,65+,6
Adam Carroll,male,18-25,1
Leroy Mason,male,46-55,1
Mary Baumbach,female,46-55,1
Joe Drinkwater,male,56-65,1
Dorothy Gordon,female,65+,1
Carrie Herrera,female,56-65,1
Melissa Moser,female,26-35,2
David Wagner,male,46-55,1
Xavier Nguyen,male,56-65,1
Heather Greene,female,46-55,2
John Sentell,male,36-45,2
Susan Nattiah,female,46-55,1
Eddie Bailey,female,46-55,7
Jack Bell,male,46-55,1
Jennifer Collins,female,65+,1
Matthew Wise,male,46-55,1
Ralph Johnson,male,56-65,1
Mary Dahlberg,female,46-55,1
Robert Vogt,male,26-35,7
Mildred Garrison,female,56-65,2
Brain Knight,male,56-65,2
Javier Bennett,male,36-45,1
Brad Toomer,male,46-55,1
Brandon Cornelius,male,46-55,1
Samantha Francis,female,46-55,1
Eric Dickerson,male,56-65,4
George Payne,male,46-55,1
Julie Yale,female,18-25,1
Kevin Willmore,male,65+,1
William Fossey,male,46-55,1
Brandon Uttley,male,46-55,1
Shane Mink,male,46-55,2
Mildred Jones,female,56-65,1
Mack Detweiler,male,46-55,3
John Collier,male,56-65,1
Laura Smith,female,56-65,1
Cynthia Ratcliff,female,56-65,5
Demetrius Lau,male,56-65,1
Evette Taylor,female,46-55,1
Morris Sutton,male,46-55,1
Bonnie Hyatt,female,65+,1
Herbert Dunn,male,36-45,1
Tina Aitken,female,46-55,2
Brian Barbieri,male,56-65,1
Jamie Mahoney,male,46-55,2
Richard Johnson,male,46-55,3
Frank Neace,male,46-55,1
Jessica Canas,female,46-55,1
Johnnie Hearne,male,46-55,1
Desiree Washington,female,56-65,1
Zachariah Connell,male,36-45,1
Cierra Lenard,female,56-65,1
Freddie Kelleher,male,46-55,1
Lora Jones,female,46-55,1
Ella Stephenson,female,46-55,1
William Himmons,male,56-65,1
Alfred Wheatley,male,56-65,2
Phyllis Brentson,female,36-45,1
David Kinnard,male,46-55,2
Bernard Custodio,male,36-45,1
Joe Magnuson,male,56-65,1
Donald Bell,male,46-55,4
Janet Murphy,female,56-65,3
Benjamin Bruggeman,male,36-45,1
Michael Liptrot,male,65+,1
Debra Taylor,female,65+,1
Shawn Allen,female,56-65,2
Francis Witherspoon,male,36-45,1
Patrica Walp,female,46-55,1
Cecelia Jones,female,46-55,1
Dolores Whetzel,female,46-55,1
Veronica Freeman,female,46-55,2
Curt Thompson,male,46-55,1
Amy Ruano,female,46-55,1
Edwin Scrivener,male,46-55,1
Michael Stiner,male,65+,1
Joan Munoz,female,46-55,2
Guillermina Riche,female,18-25,1
Charlotte Jencks,female,65+,1
Carlos Perry,male,46-55,1
Keith Phillips,male,36-45,1
Jennifer Jones,female,46-55,1
Evan Lassiter,male,56-65,1
Denise Wolfe,female,36-45,3
Edwin Bopp,male,36-45,1
Hugo Pooler,male,46-55,1
Kim Lamb,male,36-45,1
Richard Ahlman,male,65+,1
Bradley Woods,male,46-55,3
Tricia Shelby,female,46-55,1
Jeanette Powers,female,65+,1
Joseph Smalls,male,26-35,1
Lucille Galvin,female,36-45,1
Alan Doiron,male,56-65,5
Kenneth Pemberton,male,46-55,1
Susan Harstad,female,56-65,1
Nicholas Rodriguez,male,46-55,1
Delbert Marshall,male,65+,1
John Esposito,male,65+,1
Terry Hicks,male,36-45,2
Jessica Copes,female,46-55,1
Jesus Lee,male,46-55,1
Stacy Carney,male,65+,1
Michelle Cabrera,female,36-45,7
Charles Parra,male,56-65,1
Christopher Rivera,male,56-65,1
Monica Allen,female,65+,7
Felipe Chesser,male,46-55,1
Mary Chan,female,46-55,1
Jerri Acosta,female,36-45,1
George Conner,male,65+,3
Alonzo Mccary,male,36-45,1
Vivian Gilder,female,65+,1
Barbara Mittlestadt,female,46-55,1
Steven Williams,male,46-55,1
Margaret Carpenter,female,56-65,6
Mona Davis,female,46-55,1
Gilbert Ko,male,56-65,1
Allen Harren,male,46-55,2
Shannon Lewis,female,56-65,11
Charlotte Graham,female,46-55,4
Myrna Lee,female,56-65,1
Morris Burroughs,male,36-45,2
Mack Edgeworth,male,36-45,2
John Dupree,male,46-55,1
Dee Baker,female,36-45,1
Wilma Thomas,female,46-55,2
Derek Wright,male,36-45,1
Stanley Stafford,male,56-65,1
Michelle Brown,female,65+,1
Natalie Sanchez,female,46-55,1
Roy Perez,male,56-65,1
Janice Gilliam,female,36-45,1
Marcus Henson,male,56-65,1
Jeannine Simpson,female,36-45,1
Sidney Plummer,male,36-45,1
Roland Wisdom,male,36-45,18
Carl Riley,male,36-45,4
Ann Castro,female,46-55,9
Kimberly Clark,female,46-55,1
Robert Petersen,male,65+,1
Frances Pruitt,female,46-55,1
Hugh Greene,male,56-65,1
Nicole Thomas,female,46-55,1
Anne Rodriguez,female,65+,1
Michael Mcclendon,male,46-55,2
James Davenport,male,46-55,2
William Taylor,male,36-45,2
Abraham Verrill,male,46-55,6
Christopher Macias,male,46-55,3
Erin Milla,female,56-65,1
Millard Keri,male,46-55,1
Kelvin Stumpf,male,46-55,1
Henry Osher,male,56-65,1
Brenda White,female,56-65,1
Richard Carter,male,46-55,1
Mary Chavez,female,46-55,2
Mary Merrill,female,36-45,2
Mamie Cooper,female,56-65,1
Sidney Hargrove,male,36-45,1
Zane Wade,male,65+,5
Ila Plant,female,46-55,1
Augustus Taylor,male,46-55,1
Shantell Bailey,female,36-45,1
Michael Akins,male,46-55,1
Charles Pinon,male,36-45,1
Cherie Keast,female,46-55,2
Joseph Pedersen,male,65+,1
Leonard Franklin,male,46-55,1
Lee Greenawalt,male,36-45,2
Antonia Hall,female,56-65,1
Robin Mills,female,46-55,1
Patricia Coates,female,26-35,1
Andrea Coney,female,65+,1
Lula Korn,female,56-65,1
Jamal Grier,male,46-55,1
James Harkey,male,46-55,1
Katherine Gardner,female,46-55,3
Jenny Schmidt,female,36-45,3
Charita Aiyer,female,36-45,2
Scott Hernandez,male,46-55,1
Aide Murphy,female,46-55,1
Jonathan Louie,male,46-55,1
Anna Huntzinger,female,46-55,2
Gilbert Zappala,male,46-55,2
Jane Smallidge,female,36-45,1
Roland Gallegos,male,18-25,1
Hattie Bracy,female,46-55,2
Betty Futrell,female,36-45,6
Willie Jones,male,46-55,1
Paul Thompson,male,36-45,1
Jacqueline Deshay,female,65+,1
Cathy Kerns,female,46-55,1
Wilma Davis,female,36-45,2
Bernard Everhart,male,56-65,1
Keith Jones,male,56-65,1
Paul Russell,male,46-55,1
Anthony Burcham,male,36-45,1
James Mclendon,male,46-55,1
Bonnie Smith,female,36-45,1
Gerald Rivali,male,46-55,1
Colleen Tyler,female,36-45,1
Derek Bartell,male,36-45,1
Clara Ching,female,36-45,1
Bryan Rinkel,male,36-45,1
Ashley Vaughn,female,46-55,1
Bradley Henry,male,26-35,1
Patricia Mahoney,female,46-55,13
Paul Chevere,male,56-65,1
John Riveroll,male,56-65,1
Jeffrey Pettiford,male,56-65,3
Paul Troiano,male,46-55,1
John Bryant,male,46-55,1
Michael Feeney,male,36-45,3
Maria Osborn,female,46-55,1
Brandon Works,male,56-65,2
Raymond Coleman,male,46-55,2
Robert Smith,male,46-55,2
Regina Gering,female,36-45,1
Patrick Shaver,male,46-55,1
Sherry Irland,female,46-55,3
James Mcfarland,male,46-55,1
Vivian Zink,female,56-65,1
Ruth Bellamy,female,46-55,1
Heather Sledge,female,18-25,1
Tamara Mcdowell,female,65+,1
Major Dolan,male,56-65,1
Louise Heise,female,46-55,1
Kirby Thomas,male,36-45,1
Gregory Lanier,male,65+,4
Dana Ragan,female,46-55,1
Clint Pruitt,male,56-65,1
Clarence Asuncion,male,36-45,1
Ronald Spencer,male,56-65,2
Darlene Schille,female,46-55,1
Tonya Ramirez,female,65+,1
Willie Rascon,male,36-45,2
Reva Egland,female,36-45,1
Crystal Brooks,female,46-55,1
Jerry Rivers,female,46-55,3
John Piccolomini,male,56-65,1
Jeffrey Cerza,male,65+,1
Hollis Snider,male,56-65,1
Christopher Johnson,male,36-45,1
John Johnson,male,46-55,1
Sara Chapen,female,56-65,1
Edgar Kennedy,male,46-55,1
Jonathan Johnson,male,46-55,1
Dawn Collins,female,56-65,1
Wade Cuellar,male,46-55,1
Katie Orbin,female,56-65,1
Floyd Knecht,male,26-35,1
Lester Lewis,male,26-35,1
Anthony Horton,male,46-55,4
Tonya Simmons,female,36-45,1
Annette Ealy,female,46-55,3
April Angelovich,female,65+,4
Sandra Reese,female,36-45,1
Jose Stephenson,male,56-65,11
William Ballard,male,46-55,1
Franklin Brahm,male,46-55,1
Beverly Crenshaw,female,46-55,3
Romona Hansel,female,65+,1
Latonia Crawford,female,65+,1
Aubrey Williams,male,36-45,1
Joyce Berrios,female,46-55,1
Rosemary Deane,female,36-45,1
Gregory Labruzzo,male,36-45,1
Joseph Harper,male,46-55,1
Lynn Sadowski,female,56-65,1
Luann Joiner,female,46-55,3
Gilberto Hart,male,36-45,1
John Morrison,male,46-55,1
Cheryl Lucena,female,65+,1
Patrick Fisher,male,65+,1
Edward Coyne,male,56-65,2
Jesse Porter,male,36-45,1
Amanda Mckoy,female,46-55,1
Judith Seitz,female,46-55,1
Wayne Foster,male,65+,1
Robert Brennan,male,46-55,1
Laura Kues,female,36-45,1
Heather Stooks,female,46-55,1
Dana Clendenin,female,46-55,1
Ira Gatto,male,18-25,3
Margaret Mcguire,female,36-45,1
Michael Furniss,male,46-55,1
Cheyenne Stansbury,female,46-55,1
Gwendolyn Deberry,female,46-55,1
Richard Marlar,male,56-65,5
Sharon Miller,female,46-55,4
Jolynn Conti,female,46-55,1
Margaret Clevenger,female,65+,1
Cheryl Murphy,female,56-65,1
Edward Mascaro,male,65+,1
Kenneth Duquette,male,56-65,1
Tamara Sandlin,female,36-45,1
Jonathan Vail,male,36-45,2
James Gadison,male,46-55,3
Ronald Rodrigue,male,36-45,1
Woodrow Moody,male,18-25,4
Travis Wahlstrom,male,56-65,2
Simone Scarborough,female,36-45,1
Jerry Boyd,male,46-55,1
Guadalupe November,male,46-55,1
Laura Nunez,female,36-45,1
Daniel Sipes,male,56-65,1
John Bailey,male,46-55,1
Tony Yerkovich,male,65+,1
Betty Macdonald,female,56-65,3
Delores Walters,female,56-65,1
Robert Felix,male,46-55,3
Thomas Moore,male,65+,1
Kevin Vincent,male,56-65,1
Danielle Bruster,female,56-65,5
Mary Wedeking,female,46-55,1
Charles Rivera,male,65+,1
Refugio Santana,male,46-55,1
Darrell Dicostanzo,male,36-45,1
Walter Cunningham,male,46-55,2
Kimberlee Mcneil,female,26-35,1
Esther Sowers,female,36-45,6
Danielle Matheny,female,56-65,2
Bonnie Petrik,female,36-45,1
Charles Files,male,46-55,1
Randall Gerwitz,male,65+,1
Walter Leavitt,male,46-55,1
Martin Butler,male,36-45,2
Alice Powell,female,46-55,2
Mark Jaramillo,male,36-45,1
Seth Banda,male,46-55,1
Jeff Bowers,male,46-55,1
Moses Goris,male,46-55,1
Marc Mccoun,male,56-65,2
Albert Greenan,male,65+,1
Ronald Bearce,male,46-55,2
Olivia Walton,female,65+,1
Denise Matthews,female,46-55,1
Andrew Woods,male,56-65,1
Kevin Ovington,male,46-55,1
Jeffrey Black,male,36-45,4
Luann Beamon,female,46-55,1
Frances Johnson,female,46-55,1
Jennifer Frazier,female,36-45,1
William Saldana,male,36-45,1
Kathryn Bates,female,65+,1
Meridith Warren,female,46-55,1
Mary Gonzalez,female,36-45,13
Elizabeth Silva,female,46-55,2
Christopher Gunn,male,36-45,1
Karen Yokum,female,46-55,7
Heather Carter,female,46-55,2
Kathy Romine,female,46-55,2
Dennis Duran,male,65+,1
Kimberly Roseman,female,56-65,1
Olive Childers,female,26-35,2
Roberto Belcher,male,46-55,1
Ann Osborne,female,56-65,1
Freida Livley,female,65+,1
Ursula Vasquez,female,36-45,1
Ida Karsten,female,65+,1
Vicki Bonebright,female,56-65,1
Eric Cady,male,46-55,1
Christina Robbins,female,46-55,1
Wesley Williams,male,65+,1
Tressa Leone,female,46-55,1
Herbert Ansbro,male,65+,1
Marjorie Clevenger,female,46-55,3
Marcia Shafer,female,65+,3
John Shelton,male,46-55,1
Curtis Cull,male,46-55,2
Mary Laney,female,56-65,1
Audrey Mills,female,36-45,1
Barry Tasler,male,65+,1
William Berganza,male,46-55,1
Patrick Reyes,male,36-45,1
Warren Berumen,male,46-55,1
Roy Hale,male,46-55,1
Jason Dillow,male,46-55,1
Regina Rapoza,female,36-45,2
Rita Larson,female,46-55,1
Micheal Lafayette,male,46-55,1
Jessica Wilson,female,65+,1
Stephen Hopkins,male,36-45,2
Charles Whittaker,male,56-65,1
Bernice Supernaw,female,65+,1
Matthew Wright,male,65+,1
Kathie Jung,female,56-65,1
Darlene Lamb,female,36-45,3
Christopher Edwards,male,46-55,1
Dane Stewart,male,65+,1
Marvin Saxton,male,46-55,1
Charlie Cheeks,female,46-55,1
America Cuomo,female,46-55,1
Bethany Spiller,female,36-45,1
Mary Gonzales,female,56-65,1
Mary Oden,female,36-45,1
Eva Walker,female,46-55,1
Fredric Hess,male,36-45,1
Charles Cantrell,male,65+,1
Fran Dube,female,18-25,2
Jonathan Veasey,male,46-55,1
Jessie Blessing,male,36-45,2
Edward Collins,male,36-45,1
John Salas,male,65+,4
Florence Tilton,female,56-65,1
Carl Cook,male,65+,6
Joseph Gibbons,male,56-65,2
Phyllis Hill,female,56-65,1
Rosie Trujillo,female,56-65,1
Michael Hartman,male,46-55,3
Carole Nielson,female,56-65,1
Maria Pereira,female,56-65,5
Diana Mendoza,female,56-65,1
Dennis Sumpter,male,46-55,1
Angel Favors,female,36-45,1
Emilie Brothers,female,65+,1
Rodolfo Tang,male,56-65,1
Donald Kendra,male,65+,1
Jerry Bass,male,65+,1
Chase Mathes,male,65+,1
Joan Schneider,female,36-45,1
Sarah Avila,female,46-55,1
Danielle Shannon,female,36-45,1
William Miller,male,46-55,1
Peter Smith,male,36-45,1
Ryan Mckenney,male,46-55,2
Michael Juarez,male,36-45,1
Mary Poole,female,46-55,1
Isaac Sterling,male,56-65,1
Andrew Young,male,56-65,1
Robert Winograd,male,65+,1
Maria Martin,female,46-55,1
Ruth Ceruantes,female,46-55,2
Gussie Campbell,female,26-35,1
Stephanie Waldron,female,36-45,1
Ann Marine,female,36-45,1
Katie Rivera,female,46-55,1
Willie Morales,female,56-65,2
